rank,boxer,score
456,Anthony Mundine,0.0003
457,Sergio Mora,0.0003
458,Raul Marquez,0.0003
459,Vernon Forrest,0.0003
460,Danny Sanchez,0.0003
461,Antonio Gomez,0.0003
462,Francisco Bolivar,0.0003
463,Cruz Marcano,0.0003
464,Heliodoro Pitalua,0.0003
465,Nestor Rojas,0.0003
466,Reynaldo Lopez,0.0003
467,Victor Cano,0.0003
468,Cipriano Zuluaga,0.0003
469,Rodolfo Ortega,0.0003
470,Candido Tellez,0.0003
471,Gabriel Bernal,0.0003
472,Park Chan-hee,0.0003
473,Betulio Gonzalez,0.0003
474,Ignacio Espinal,0.0003
475,Tarcisio Gomez,0.0003
476,Juan Torres,0.0003
477,Joe Calvario,0.0003
478,Pedro Carillo,0.0003
479,Vincent Astrolabio,0.0003
480,John Riel Casimero,0.0003
481,Giovani Segura,0.0003
482,Zora Folley,0.0003
483,Ernie Terrell,0.0003
484,Bob Hazelton,0.0003
485,Mustafa Wassaja,0.0003
486,Jorge Ahumada,0.0003
487,Mauro Mina,0.0003
488,Victor Ortiz,0.0003
489,Davey Moore,0.0003
490,Mustafa Hamsho,0.0003
491,Harold Weston,0.0003
492,Scott Papasodora,0.0003
493,Carlos Herrera,0.0003
494,Matthew Hilton,0.0003
495,Earnie Shavers,0.0003
496,Gerry Cooney,0.0003
497,Jose Luis Garcia,0.0003
498,Noel Arambulet,0.0003
499,Daisuke Iida,0.0003
500,Kenichiro Hamaguchi,0.0003
501,Tsutomu Oshigane,0.0003
502,Eric Harding,0.0002
503,Steve Cunningham,0.0002
504,Lateef Kayode,0.0002
505,Zab Judah,0.0002
506,Aaron McKenna,0.0002
507,Chris Eubank Jr,0.0002
508,Magomed Kurbanov,0.0002
509,Terry Caruthers,0.0002
510,Rafael Gandarilla,0.0002
511,Bobby Chacon,0.0002
512,Art Hafey,0.0002
513,Guillermo Morales,0.0002
514,Danny Lopez,0.0002
515,Ignacio Madrid,0.0002
516,Roman Almaguer,0.0002
517,Margarito Marquez,0.0002
518,Jose Cervantes,0.0002
519,David Kotey,0.0002
520,Rafael Herrera,0.0002
521,Chucho Castillo,0.0002
522,German Bastidas,0.0002
523,Arnold Barboza Jr,0.0002
524,Joey Archer,0.0002
525,Joey Giardello,0.0002
526,Gene Fullmer,0.0002
527,Ellsworth Webb,0.0002
528,Wilf Greaves,0.0002
529,Rory Calhoun,0.0002
530,Pat McAteer,0.0002
531,Jimmy Lynas,0.0002
532,Alan Dean,0.0002
533,Willie Armstrong,0.0002
534,George Roe,0.0002
535,Gerry McNally,0.0002
536,Tommy West,0.0002
537,Trevor Berbick,0.0002
538,Brian Nielsen,0.0002
539,James Tillis,0.0002
540,Tim Anderson,0.0002
541,Ron McCarthy,0.0002
542,Mitch Green,0.0002
543,Wendell Baily,0.0002
544,Ricardo Torres,0.0002
545,Kaizer Mabuza,0.0002
546,Thomas Davis,0.0002
547,Buddy McGirt,0.0002
548,Eugenio Espinoza,0.0002
549,Teruo Kosaka,0.0002
550,Paolo Rosi,0.0002
551,Hiruyuki Murakami,0.0002
552,Isao Ichihara,0.0002
553,Jaguar Kakizawa,0.0002
554,Akihisa Someya,0.0002
555,Yoshiaki Numata,0.0002
556,Solomon Boysaw,0.0002
557,Vicente Rivas,0.0002
558,Leo Alonzo,0.0002
559,Shigeji Kaneko,0.0002
560,Omsap Laemfapha,0.0002
561,Tommy Romulo,0.0002
562,Miguel Berrios,0.0002
563,Sandy Saddler,0.0002
564,Masashi Akiyama,0.0002
565,Akiyoshi Akanuma,0.0002
566,Larry Bataan,0.0002
567,Little Dundee,0.0002
568,Kid Independence,0.0002
569,Luis Nery,0.0002
570,Gary Antonio Russell,0.0002
571,Raushee Warren,0.0002
572,Lucas Matthysse,0.0002
573,Chris Algieri,0.0002
574,John Molina Jr,0.0002
575,Mauricio Herrera,0.0002
576,Mauro Gutierrez,0.0002
577,Edgar Castro,0.0002
578,Barry McGuigan,0.0002
579,Bernard Taylor,0.0002
580,Rudy Alpizar,0.0002
581,Oscar Arnal,0.0002
582,Alfonso Zamora,0.0002
583,Alfonso Perez,0.0002
584,Hekkie Budler,0.0002
585,Carlos Canizales,0.0002
586,Masayoshi Segawa,0.0002
587,David Cuellar,0.0002
588,Ulises Lara,0.0002
589,Howard Eastman,0.0002
590,Michael Alexander,0.0002
591,Paul Samuels,0.0002
592,Virgilijus Stapulionis,0.0002
593,Nick Ball,0.0002
594,Sam Goodman,0.0002
595,Michael Conlan,0.0002
596,Ionut Baluta,0.0002
597,Lorenzo Trejo,0.0002
598,Johnny Garcia,0.0002
599,Rayonta Whitfield,0.0002
600,Luis Angel Martinez,0.0002
601,Abel Ochoa,0.0002
602,Tony Licata,0.0002
603,Tony Mundine,0.0002
604,Jean-Claude Bouttier,0.0002
605,Denny Moyer,0.0002
606,Alan Minter,0.0002
607,Mayfield Pennington,0.0002
608,Joel Bonnetaz,0.0002
609,Eckhard Dagge,0.0002
610,Loucif Hamani,0.0002
611,Elijah Makathini,0.0002
612,Jose Luis Duran,0.0002
613,Manuel Gonzalez,0.0002
614,Nessim Max Cohen,0.0002
615,Stanley Hayward,0.0002
616,Don Fullmer,0.0002
617,Juan Carlo Duran,0.0002
618,Rubin Carter,0.0002
619,Benny Paret,0.0002
620,Mikey Garcia,0.0002
621,Adolpho Washington,0.0002
622,Michael Nunn,0.0002
623,Tony LaRosa,0.0002
624,Keith McKnight,0.0002
625,Tony Halme,0.0002
626,Thomas Williams,0.0002
627,Joey Guy,0.0002
628,Tue Bjørn Thomsen,0.0002
629,Dan Kosmicki,0.0002
630,Rocky Gannon,0.0002
631,Tosca Petridis,0.0002
632,Nigel Benn,0.0002
633,Osley Silas,0.0002
634,Eddie Hall,0.0002
635,Nick Blackwell,0.0002
636,Ernesto Mercado,0.0002
637,Jose Zepeda,0.0002
638,Denis Shafikov,0.0002
639,Robert Easter Jr,0.0002
640,Andre Berto,0.0002
641,Vlad Panin,0.0002
642,Gabriel Maestre,0.0002
643,Luke Santamaria,0.0002
644,Ivan Redkach,0.0002
645,Aaron Martinez,0.0002
646,Stephon Young,0.0002
647,Joshua Greer Jr,0.0002
648,Nikolai Potapov,0.0002
649,Meldrick Taylor,0.0002
650,Jim Watt,0.0002
651,Dana Rosenblatt,0.0002
652,Joe Manley,0.0002
653,Liborio Solis,0.0002
654,Pablo Cesar Cano,0.0002
655,Zhora Hamazaryan,0.0002
656,Sergio Thompson,0.0002
657,Antonio DeMarco,0.0002
658,Juan Carlos Salgado,0.0002
659,Paulie Malignaggi,0.0002
660,Eric Aiken,0.0002
661,Jose Santa Cruz,0.0002
662,Ricky Quiles,0.0002
663,Rafael Sierra,0.0002
664,Jose Leonardo Cruz,0.0002
665,Mirko Wolf,0.0002
666,Leonard Bundu,0.0002
667,Samuel Vargas,0.0002
668,Elwin Soto,0.0002
669,Jose Argumedo,0.0002
670,Mateo Handig,0.0002
671,Nkosinathi Joyi,0.0002
672,Eagle Kyowa,0.0002
673,Masato Hatakeyama,0.0002
674,Gerardo Valenzuela Munoz,0.0002
675,Angelino Cordova,0.0002
676,Charlie Edwards,0.0002
677,Joaquin Cruz,0.0002
678,Ahmed El Mousaoui,0.0002
679,Festim Kryeziu,0.0002
680,Frankie Gavin,0.0002
681,Yassine El maachi,0.0002
682,Victor Lupo Puiu,0.0002
683,Mark Ramsey,0.0002
684,Cam Raeside,0.0002
685,Kaichon Sor Vorapin,0.0002
686,Shohei Omori,0.0002
687,Richie Mepranum,0.0002
688,Greg Mangan,0.0002
689,Jojo Bardon,0.0002
690,Angky Angkotta,0.0002
691,Chana Porpaoin,0.0002
692,Panomroonglek Kratingdaenggym,0.0002
693,Travis Hartman,0.0002
694,Daniel Jacobs,0.0002
695,Marco Antonio Rubio,0.0002
696,Peter Manfredo Jr,0.0002
697,Uriah Hall,0.0002
698,Anderson Silva,0.0002
699,Marcos Reyes,0.0002
700,Sebastian Zbik,0.0002
701,Luciano Cuello,0.0002
702,Matt Vanda,0.0002
703,Tobia Giuseppe Loriga,0.0002
704,Ray Sanchez,0.0002
705,Louis Brown,0.0002
706,Raul Jorge Munoz,0.0002
707,Shad Howard,0.0002
708,Tyler Ziolkowski,0.0002
709,Carlos Molina,0.0002
710,Ruben Galvan,0.0002
711,Ryan Maraldo,0.0002
712,Leroy Newton,0.0002
713,Sheldon Mosley,0.0002
714,Mike Walker,0.0002
715,Miguel Galindo,0.0002
716,Oisin Fagan,0.0002
717,Koki Kameda,0.0002
718,James Kirkland,0.0001
719,Willie Monroe Jr,0.0001
720,Ahmed Elbiali,0.0001
721,Kendrick Ball Jr,0.0001
722,Marcus McDaniel,0.0001
723,Sena Agbeko,0.0001
724,Jas Phipps,0.0001
725,Mike Gavronski,0.0001
726,Matvey Korobov,0.0001
727,Max Bursak,0.0001
728,Isaac Rodrigues,0.0001
729,Craig McEwan,0.0001
730,Jaidon Codrington,0.0001
731,Matthew Macklin,0.0001
732,Demetrius Andrade,0.0001
733,Anthony Fowler,0.0001
734,Max Maxwell,0.0001
735,Denis Radovan,0.0001
736,Carson Jones,0.0001
737,Manoocha Salari,0.0001
738,Roman Martinez,0.0001
739,Andy Cruz,0.0001
740,Angel Fierro,0.0001
741,Starling Castillo,0.0001
742,Xavier Martinez,0.0001
743,Hector Tanajara Jr,0.0001
744,Yakubu Amidu,0.0001
745,Hozumi Hasegawa,0.0001
746,Rex Tso,0.0001
747,Norbelto Jimenez,0.0001
748,Yohei Tobe,0.0001
749,Yota Sato,0.0001
750,Tomas Rojas,0.0001
751,Nobuo Nashiro,0.0001
752,Teppei Kikui,0.0001
753,Daigo Nakahiro,0.0001
